# Canonical writer census for issue #5105. Counts include lexical references in comments.
# path	write-reference ceiling	enforcement boundary	review rationale
src/core/brain-repo-durability.ts	0	filesystem_guard	Hardening checks the root; generated push/rebase helpers honor shared refusal markers.
src/core/brain-writer.ts	0	filesystem_guard	Frontmatter repair checks the managed root before backup or file replacement.
src/core/calibration/undo-wave.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/chronicle/extract-events.ts	2	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/company-brain/admission.ts	1	coordinator	Managed registration delegates to source lifecycle; the unmanaged insert runs under native topology locks and a principal/source-locked transaction that validates the approved plan, binds the schema and records the ingestion receipt atomically.
src/core/company-brain/demo.ts	1	isolated_eval	Fictional source registration uses a new PGLiteEngine connected with an empty config, so writes remain in an isolated in-memory database that is disconnected after the demo; the configured brain is never opened.
src/core/company-brain/profile.ts	1	engine_guard	Company-profile legacy deletes use withCompanyBrainSource to lock and validate source incarnation, path, receipt and policy; calls without that context retain engine guards, and managed sync routes to the coordinator before this legacy path.
src/core/company-brain/runtime.ts	1	projection	Only source policy metadata advances under the company-source lock and brain/source row locks; the same transaction validates immutable approval and creates a receipt with source-incarnation and managed owner/topology fences, without source-file writes.
src/core/cycle/drift.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/cycle/extract-atoms.ts	3	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/cycle/extract-facts.ts	3	early_refusal	Managed legacy fence reconciliation refuses before providers; unmanaged reconciliation preserves valid vectors transactionally and applies source-scoped privacy and withdrawal restrictions before embedding.
src/core/cycle/extract-atoms-page-state.ts	1	engine_guard	Atom completion updates and cardinality checks share one transaction; managed canonical SQL remains fenced and scan/failure bookkeeping is stored separately.
src/core/cycle/extract-takes.ts	3	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/cycle/grade-takes.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/cycle/patterns.ts	0	coordinator	Managed local patterns use admitted page operations and validate canonical outputs; the legacy reverse-file path runs only unmanaged.
src/core/cycle/phantom-redirect.ts	5	early_refusal	Managed mode refuses this legacy entry point before its canonical filesystem/provider effects.
src/core/cycle/phases/consolidate.ts	5	coordinator	Managed local consolidation publishes a take, semantic contributing facts and file in one guarded receipt transaction; legacy writes remain SQL-guarded.
src/core/cycle/synthesize.ts	2	coordinator	Managed summaries and provenance use prepared journal publication; legacy direct rows and reverse-file writes run only unmanaged.
src/core/cycle.ts	3	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/destructive-guard.ts	3	coordinator	Managed source archive, restore and expiry purge use native exclusion and guarded topology transitions; remaining canonical maintenance keeps its engine guard.
src/core/embedding-dim-check.ts	1	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/embedding-invalidation.ts	2	projection	Derived vector invalidation; signature restamping requires matching chunk context and a current text projection. Canonical fields remain guarded by SQL triggers.
src/core/embedding-migration.ts	1	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/engine-constants.ts	1	contract	Engine contract or explanatory SQL references; execution is in guarded engine implementations.
src/core/engine.ts	2	contract	Engine contract or explanatory SQL references; execution is in guarded engine implementations.
src/core/enrichment-service.ts	3	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/extract/receipt-writer.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/extract-timeline-from-meetings.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/facts/backstop.ts	3	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/facts/fence-write.ts	2	filesystem_guard	Source filesystem ownership is checked before editing canonical fact fences.
src/core/facts/forget.ts	3	filesystem_guard	Managed callers journal withdrawal; legacy filesystem helper requires coordinated write.
src/core/facts/withdrawal.ts	2	coordinator	Publication is transaction-scoped under admitted authority, source/page guards and revision checks.
src/core/facts/write-single.ts	2	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/git-remote.ts	0	filesystem_guard	Clone, pull and rebase entry points check the durable root refusal registry.
src/core/github-source.ts	3	coordinator	Managed connector imports, deletion and checkpoints use prepared journal publication; unbound API sources explicitly persist in the database and bound sources retain canonical filesystem publication.
src/core/google/google-source.ts	3	coordinator	Managed connector imports, deletion and checkpoints use prepared journal publication; legacy materialization is confined to unmanaged sources.
src/core/google/loops-extract.ts	1	early_refusal	Unsupported managed loop extraction refuses before model calls; unchanged unmanaged fact/fence writes remain guarded.
src/core/import-file.ts	15	coordinator	Prepared import applies under journal publication and revision CAS; direct managed imports refuse early, and legacy source-path repair follows revision validation inside a savepoint.
src/core/last-retrieved.ts	1	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/migrate.ts	15	schema	Schema installation and forward-reference DDL; coordinated activation quiesces canonical writers. Data migrations on guarded tables (v166 page_aliases re-key) grant every source for their own transaction only, as the coordinator does, so an enforcement-enabled brain still upgrades.
src/core/minions/handlers/ingest-capture.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/onboard/checks.ts	2	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/ops/extraction.ts	3	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication. Promotion writes the alias rows and the status flip in one transaction, so a refused write rolls back both.
src/core/ops/links.ts	2	early_refusal	Managed mode refuses this legacy entry point before its canonical filesystem/provider effects.
src/core/ops/loops.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/ops/pages.ts	5	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/output/writer.ts	6	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/page-state/materialize.ts	1	coordinator	Publication is transaction-scoped under admitted authority, source/page guards and revision checks.
src/core/page-state/projection-schema.ts	1	schema	Schema installation and forward-reference DDL; coordinated activation quiesces canonical writers.
src/core/page-state/projections.ts	2	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/page-state/schema.ts	2	schema	Schema installation and forward-reference DDL; coordinated activation quiesces canonical writers.
src/core/page-state/tags.ts	2	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/persistence/memory-mutations.ts	1	coordinator	Publication is transaction-scoped under admitted authority, source/page guards and revision checks.
src/core/persistence/memory-prepare.ts	3	coordinator	Publication is transaction-scoped under admitted authority, source/page guards and revision checks.
src/core/persistence/page-prepare.ts	8	coordinator	Publication, including versioned tombstone restoration, is transaction-scoped under admitted authority, source/page guards and revision checks; the sixth SQL site reconciles trusted first-write provenance with prepared canonical frontmatter and the seventh records canonical source_path in that same guarded transaction. Identical canonical no-ops do not heal physical metadata. The added local-CLI purge deletePage call runs in the prepared publication callback after recorded-artifact removal, under the same source/page identity, revision and durable authority guards as receipt completion; permanent journal IDs and outcomes survive the hard delete.
src/core/persistence/semantic-pages.ts	1	coordinator	Publication is transaction-scoped under admitted authority, source/page guards and revision checks.
src/core/pglite-engine/facts.ts	14	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/pglite-engine/salience.ts	1	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/pglite-engine/takes.ts	6	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/pglite-engine.ts	34	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/pglite-schema.ts	1	schema	Schema installation and forward-reference DDL; coordinated activation quiesces canonical writers.
src/core/postgres-engine/facts.ts	11	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/postgres-engine/forward-reference-bootstrap.ts	1	schema	Schema installation and forward-reference DDL; coordinated activation quiesces canonical writers.
src/core/postgres-engine/salience.ts	1	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/postgres-engine/takes.ts	6	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/postgres-engine.ts	33	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/schema-pack/mutate.ts	0	filesystem_guard	The shared manifest write primitive checks its root before atomic replacement.
src/core/schema-pack/page-to-alias.ts	2	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/schema-pack/page-to-link.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/schema-pack/retype.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/schema-pack/rewrite-links-batch.ts	1	early_refusal	Managed mode refuses this legacy entry point before its canonical filesystem/provider effects.
src/core/schema-pack/sync.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/search/safe-chunks.ts	1	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/source-config-sql.ts	1	projection	Derived indexing, retrieval telemetry, or source settings; canonical fields remain guarded by SQL triggers.
src/core/sources-ops.ts	8	coordinator	Managed source constructors, removal and reclone delegate to guarded lifecycle transactions and reserved directory recovery; legacy paths remain preactivation only.
src/core/sweep.ts	2	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/sync-anchor.ts	5	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/takes-write.ts	8	filesystem_guard	Managed operation routes through journal; legacy atomic file helper checks the root.
src/core/think/index.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/timeline-dedup-repair.ts	3	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/timeline-write-through.ts	2	filesystem_guard	Managed semantic operation journals page changes; legacy atomic writes check root.
src/core/transcripts/ingest.ts	1	engine_guard	Canonical table SQL trigger requires coordinator capability; legacy calls fail before canonical DB publication.
src/core/workspace-push.ts	0	filesystem_guard	The resolved git root is checked before staging, committing or pulling.
src/core/write-through.ts	1	filesystem_guard	Source filesystem lock and canonical page SQL guards reject legacy publication.
src/eval/brainbench/seed.ts	2	isolated_eval	Explicit isolated evaluation database only; never opened against the active managed brain.
src/eval/chronicle/harness.ts	2	isolated_eval	Explicit isolated evaluation database only; never opened against the active managed brain.
src/eval/longmemeval/extract.ts	1	isolated_eval	Explicit isolated evaluation database only; never opened against the active managed brain.
src/commands/reinit-pglite.ts	0	filesystem_guard	Managed datastore registry refuses destructive reinit even offline; unmanaged rename requires the stable native lock.
src/core/persistence/maintenance.ts	0	filesystem_guard	Legacy managed writers refuse before effects; unmanaged datastore backup retains native exclusion through rename.
src/commands/files.ts	0	filesystem_guard	Attachment copying, redirection, restore and cleanup refuse paths in managed canonical trees before file effects.
src/commands/schema.ts	0	filesystem_guard	Schema manifest scaffolding and forks check managed roots before creating files; separate config settings are control data.
src/core/ingestion/sources/inbox-folder.ts	0	filesystem_guard	Inbox archive moves refuse managed canonical input paths before emitting the event or moving source bytes.
src/core/persistence/links-preparation.ts	2	coordinator	Automatic graph projections publish inside canonical page transactions; delayed reconciliation locks all affected page keys and compares the originating revision.
src/core/persistence/sync-prepare.ts	3	coordinator	Managed imports and deletes validate the recorded raw file hash plus enumerated page identity/revision; the source-exclusive final checkpoint requires every selected receipt to be committed.
src/commands/enrich.ts	0	early_refusal	Managed batch synthesis refuses before providers until its resume cursor retains prepared writes; legacy synthesis still carries a coherent revision and exposes pending request IDs.
src/core/persistence/source-lifecycle.ts	6	coordinator	Native affected roots precede topology, source, principal and receipt guards; every shared-root generation and old queued intent changes together.
src/core/persistence/topology-recovery.ts	2	coordinator	Verified directory-swap recovery checks source incarnation, current logical manifest and physical identity before topology commitment; permanent receipt IDs survive deletion.
src/core/sync-twins.ts	1	engine_guard	Old-slug twin retirement soft-deletes the twin and redirects its slug in one transaction through withCompanyBrainSource; the canonical table trigger refuses it without coordinator capability, the transaction rolls back, the refusal is logged and the twin stays live.
src/core/persistence/connector-sync.ts	2	coordinator	Connector freshness and source-scoped deletion commit through original/current authority, source and revision guards, canonical publication and checkpoint CAS.
src/core/persistence/prepared-maintenance.ts	2	coordinator	Named local maintenance uses native owner publication; contributing semantic facts and take lifecycle are revalidated and committed together with canonical files and receipts.
src/core/persistence/facts-prepare.ts	2	coordinator	Multi-entity fact publication rechecks original/current source authority, origin and target revisions, withdrawals and deduplication under coordinated page locks.
src/core/embed-facts.ts	1	projection	Explicit bounded repair updates only fact embedding projections with selected-brain off-switch, invocation budget, source incarnation and fact-row version checks before atomic installation.
src/core/shared-skills/knowledge-guard.ts	0	coordinator	Page publication rejects registered skill namespaces and manifest paths using source incarnations, canonical roots and stored physical aliases; the coordinator rechecks before bytes and inside publication guards.
src/core/skillpack/writer-guard.ts	0	filesystem_guard	Legacy skill writers reuse durable managed-root and symlink-aware refusal; multiply linked sinks fail closed against out-of-root inode aliases, with put_skill and host-authorized adoption remedies.
src/core/skillopt/orchestrator.ts	0	early_refusal	Legacy managed optimizer runs refuse before evaluation or history; explicit shared runs stage privately and publish accepted bodies only through the original caller and put_skill CAS.
src/core/skillopt/apply-edits.ts	0	filesystem_guard	Optimizer atomic replacement guards both target and temporary paths before opening bytes, then rechecks the final rename.
src/core/skillopt/version-store.ts	0	filesystem_guard	Accepted candidates preflight canonical, history, version and best paths before partial history; proposals and pending recovery retain guarded sinks.
src/core/skillopt/batch.ts	0	early_refusal	Fleet optimization refreshes durable managed-root refusal before staging copies or evaluating any model; final destinations remain guarded.
src/core/skillopt/bootstrap-benchmark.ts	0	early_refusal	Benchmark generation checks its output before provider calls and delegates final replacement to the guarded optimizer atomic writer.
src/core/skillopt/checkpoint.ts	0	filesystem_guard	Checkpoint creation and garbage collection guard their destinations before mkdir or unlink; atomic replacement is independently guarded.
src/core/skillopt/rejected-buffer.ts	0	filesystem_guard	Rejected-edit persistence refuses managed destinations before directory creation and uses the guarded atomic replacement sink.
src/core/skillopt/held-out.ts	0	filesystem_guard	Best-effort rollout capture refuses managed output paths before appending; refusal never changes canonical skill files.
src/core/skillpack/copy.ts	0	filesystem_guard	Scaffold and copy callers preflight every destination before the first copy and recheck each sink, preserving all-or-nothing managed refusal.
src/core/skillpack/init-scaffold.ts	0	filesystem_guard	Pack and brain-pack scaffolds share a full-plan managed-root preflight before creating files; dry-run remains read-only.
src/core/skillpack/installer.ts	0	filesystem_guard	Install overwrite, managed resolver updates and uninstall refuse managed roots before lockfiles or partial skill writes, with final sink checks.
src/core/skillpack/reference.ts	0	filesystem_guard	Reference clean-hunk application preflights every destination before partial changes and checks each final text sink.
src/core/skillpack/doctor.ts	0	filesystem_guard	Doctor auto-fixes preflight their complete write plan before creating any remediation files and recheck final destinations.
src/core/skillpack/harvest.ts	0	filesystem_guard	Harvest refuses managed output roots before copies, with guarded rollback deletions and bundle-manifest updates.
src/core/skillpack/migrate-fence.ts	0	filesystem_guard	Resolver migration refuses managed workspaces before any skill copies or fence rewrite; copy and rewrite sinks remain guarded.
src/core/skillpack/scrub-legacy.ts	0	filesystem_guard	Legacy resolver scrubbing checks the actual destination before rewriting instructions.
src/core/skillpack/endorse.ts	0	filesystem_guard	Endorsement output and temporary paths are guarded before replacement or downstream Git effects.
src/core/skillpack/state.ts	0	filesystem_guard	Explicit state-path overrides cannot redirect installer receipts or temporary writes into canonical skill files.
src/core/skillpack/bridge-state.ts	0	filesystem_guard	Bridge state-path overrides guard target and temporary files before writes while preserving existing atomic failure wrapping.
src/core/skillpack/nag-state.ts	0	filesystem_guard	Nag receipt path overrides and temporary files cannot overwrite a managed canonical skillpack.
src/core/skillpack/registry-client.ts	0	filesystem_guard	Registry cache overrides guard target and temporary files before cached payload replacement.
src/core/skillpack/remote-source.ts	0	filesystem_guard	Remote source caches refuse managed staging and final destinations before clone or extraction and recheck final rename.
src/core/skillpack/tarball.ts	0	filesystem_guard	Tarball pack output and extraction destinations refuse managed roots before subprocess or file effects and recheck final sinks.
src/core/skillpack/pack-publish.ts	0	filesystem_guard	Pack export checks the output directory before mkdir; the tarball sink independently guards final bytes.
src/core/skillpack/audit.ts	0	filesystem_guard	Audit-directory overrides and append targets refuse managed canonical paths; logging stays best-effort without bypassing refusal.
src/core/skillify/generator.ts	0	filesystem_guard	Skillify scaffolding preflights the full file and resolver plan before partial outputs, with final managed-root and inode-alias sink checks.
src/core/dry-fix.ts	0	filesystem_guard	Doctor and check-resolvable repair preflight every manifest skill before applying changes; both replacement and insertion sinks recheck canonical refusal.
src/core/skillpack/harness-bridge.ts	0	filesystem_guard	Harness install, reference rewrite and ledger-owned removal preflight all destinations before effects; rewrite and deletion sinks recheck canonical refusal.
src/core/shared-skills/setup.ts	1	engine_guard	Trusted preactivation empty-source root binding uses an incarnation and null-path CAS; managed topology SQL remains guarded and skill bytes publish only through owner claim and bundle adoption.
src/core/shared-skills/optimizer.ts	0	coordinator	Shared optimization preserves the exact approved closure and original grants in private staging; only accepted body changes reach put_skill with the original revision and stable request UUID.
src/core/persistence/import-prepare.ts	1	coordinator	The prepared local import updates source_path only inside canonical publication; owner, input and target hashes, source confinement and knowledge-versus-skill boundary revalidate before apply.
src/core/persistence/grandfather.ts	2	coordinator	Private migration intents preserve exact page/source/incarnation/revision identity and rollback snapshots; frontmatter/hash and existing text seals change only inside canonical file publication, without new embedding or fact-backstop effects.
